gen,evals,F_mean,CR_mean,p,pop_size,success_rate,niche
119,5745,0.5,0.05422219538472619,0.25,18,0.05555555555555555,1
120,5762,0.5,0.044784722294061184,0.25,17,0.11764705882352941,1
121,5779,0.5,0.044784722294061184,0.25,17,0.11764705882352941,1
122,5796,0.5,0.044784722294061184,0.25,17,0.0,1
123,5813,0.5,0.04743259859697759,0.25,17,0.17647058823529413,1
124,5829,0.5,0.04743259859697759,0.25,16,0.1875,1
125,5845,0.5,0.04743259859697759,0.25,16,0.0,1
126,5861,0.5,0.0404633164651715,0.25,16,0.0625,1
127,5877,0.5,0.05322136419522142,0.25,16,0.25,1
128,5892,0.5,0.05724577691537687,0.25,15,0.26666666666666666,1
129,5907,0.5,0.07606267515229397,0.25,15,0.26666666666666666,1
130,5922,0.5,0.09488196543202512,0.25,15,0.13333333333333333,1
131,5937,0.5,0.058756739120877165,0.25,15,0.06666666666666667,1
132,5952,0.5,0.04493375008261009,0.25,15,0.06666666666666667,1
133,5966,0.5,0.04493375008261009,0.25,14,0.0,1
134,5980,0.5,0.04090933736245465,0.25,14,0.07142857142857142,1
135,5994,0.5,0.01944456282262113,0.25,14,0.07142857142857142,1
136,6008,0.5,0.03265856022020629,0.25,14,0.14285714285714285,1
137,6021,0.5,0.04110221609800581,0.25,13,0.15384615384615385,1
138,6034,0.5,0.07366782394611301,0.25,13,0.07692307692307693,1
139,6047,0.5,0.07860550031183926,0.25,13,0.15384615384615385,1
140,6060,0.5,0.07890700204984458,0.25,13,0.23076923076923078,1
141,6073,0.5,0.1200158031790541,0.25,13,0.15384615384615385,1
142,6086,0.5,0.13538275019132795,0.25,13,0.23076923076923078,1
143,6098,0.5,0.13614121451411182,0.25,12,0.16666666666666666,1
144,6110,0.5,0.19079867235717113,0.25,12,0.08333333333333333,1
145,6122,0.5,0.1904971706191658,0.25,12,0.16666666666666666,1
146,6134,0.5,0.1904971706191658,0.25,12,0.0,1
